kind,id,etag,selfLink,volumeInfo.title,volumeInfo.authors,volumeInfo.publisher,volumeInfo.publishedDate,volumeInfo.description,volumeInfo.industryIdentifiers,volumeInfo.readingModes.text,volumeInfo.readingModes.image,volumeInfo.pageCount,volumeInfo.printType,volumeInfo.categories,volumeInfo.maturityRating,volumeInfo.allowAnonLogging,volumeInfo.contentVersion,volumeInfo.panelizationSummary.containsEpubBubbles,volumeInfo.panelizationSummary.containsImageBubbles,volumeInfo.imageLinks.smallThumbnail,volumeInfo.imageLinks.thumbnail,volumeInfo.language,volumeInfo.previewLink,volumeInfo.infoLink,volumeInfo.canonicalVolumeLink,saleInfo.country,saleInfo.saleability,saleInfo.isEbook,accessInfo.country,accessInfo.viewability,accessInfo.embeddable,accessInfo.publicDomain,accessInfo.textToSpeechPermission,accessInfo.epub.isAvailable,accessInfo.pdf.isAvailable,accessInfo.webReaderLink,accessInfo.accessViewStatus,accessInfo.quoteSharingAllowed,searchInfo.textSnippet,volumeInfo.subtitle,accessInfo.pdf.acsTokenLink,saleInfo.listPrice.amount,saleInfo.listPrice.currencyCode,saleInfo.retailPrice.amount,saleInfo.retailPrice.currencyCode,saleInfo.buyLink,saleInfo.offers,accessInfo.epub.acsTokenLink,volumeInfo.averageRating,volumeInfo.ratingsCount,accessInfo.epub.downloadLink,accessInfo.pdf.downloadLink
books#volume,UjG8qXVRSSQC,guv9QFKsuNo,https://www.googleapis.com/books/v1/volumes/UjG8qXVRSSQC,Google Power Search,['Stephan Spencer'],"""O'Reilly Media, Inc.""",7/23/11,"Behind Google's deceptively simple interface is immense power for both market and competitive research—if you know how to use it well. Sure, basic searches are easy, but complex searches require specialized skills. This concise book takes you through the full range of Google's powerful search-refinement features, so you can quickly find the specific information you need. Learn techniques ranging from simple Boolean logic to URL parameters and other advanced tools, and see how they're applied to real-world market research examples. Incorporate advanced search operators such as filetype:, intitle:, daterange:, and others into your queries Use Google filtering tools, including Search Within Results, Similar Pages, and SafeSearch, among others Explore the breadth of Google through auxiliary search services like Google News, Google Books, Google Blog Search, and Google Scholar Acquire advanced Google skills that result in more effective search engine optimization (SEO)","[{'type': 'ISBN_13', 'identifier': '9781449311568'}, {'type': 'ISBN_10', 'identifier': '1449311563'}]",FALSE,TRUE,73,BOOK,['Computers'],NOT_MATURE,FALSE,0.4.0.0.preview.1,FALSE,FALSE,http://books.google.com/books/content?id=UjG8qXVRSSQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=UjG8qXVRSSQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=UjG8qXVRSSQC&printsec=frontcover&dq=search+terms&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=UjG8qXVRSSQC&dq=search+terms&hl=&source=gbs_api,https://books.google.com/books/about/Google_Power_Search.html?hl=&id=UjG8qXVRSSQC,US,NOT_FOR_SALE,FALSE,US,PARTIAL,TRUE,FALSE,ALLOWED,FALSE,TRUE,http://play.google.com/books/reader?id=UjG8qXVRSSQC&hl=&source=gbs_api,SAMPLE,FALSE,"Sure, basic searches are easy, but complex searches require specialized skills. This concise book takes you through the full range of Google&#39;s powerful search-refinement features, so you can quickly find the specific information you need.",,,,,,,,,,,,,
books#volume,gqDf__ULmR8C,p1L/m4lnsts,https://www.googleapis.com/books/v1/volumes/gqDf__ULmR8C,Flexible Query Answering Systems,"['Troels Andreasen', 'Ronald R. Yager', 'Henrik Bulskov', 'Henning Christiansen', 'Henrik Legind Larsen']",Springer Science & Business Media,10/15/09,"This volume constitutes the Proceedings of the 8th International Conference on Flexible Query Answering Systems, FQAS 2009, held in Roskilde, Denmark, October 26–28, 2009. FQAS 2009 was preceded by the 1994, 1996 and 1998 editions held in Roskilde, Denmark, the FQAS 2000 held in Warsaw, Poland, the 2002 held in Copenhagen, Denmark, and the 2004 and 2006 editions held in Lyon, France, and in Milan, Italy, respectively. FQAS is the premier conference concerned with the very important issue of providing users of information systems with ?exible querying capabilities, and withaneasyandintuitiveaccesstoinformation.Themainobjectiveistoachieve more expressive, informative, cooperative, and productive systems which faci- tate retrieval from information repositories such as databases, libraries, hete- geneous archives and the World-Wide Web. In targeting this objective, the c- ference draws on several research areas, such as information retrieval, database management, information ?ltering, knowledge representation, soft computing, management of multimedia information, and human–computer interaction. The conference provides a unique opportunity for researchers, developers and pr- titioners to explore new ideas and approaches in a multidisciplinary forum. The overalltopic of the FQAS conferences is innovative query systems aimed at providing easy, ?exible and human-friendly access to information. Such s- tems arebecoming increasinglyimportantalsodue to the huge andalwaysgr- ing number of users as well as the growing amount of available information.","[{'type': 'ISBN_13', 'identifier': '9783642049569'}, {'type': 'ISBN_10', 'identifier': '3642049567'}]",FALSE,TRUE,688,BOOK,['Computers'],NOT_MATURE,FALSE,0.1.1.0.preview.1,FALSE,FALSE,http://books.google.com/books/content?id=gqDf__ULmR8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=gqDf__ULmR8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=gqDf__ULmR8C&pg=PA180&dq=search+terms&hl=&cd=2&source=gbs_api,http://books.google.com/books?id=gqDf__ULmR8C&dq=search+terms&hl=&source=gbs_api,https://books.google.com/books/about/Flexible_Query_Answering_Systems.html?hl=&id=gqDf__ULmR8C,US,NOT_FOR_SALE,FALSE,US,PARTIAL,TRUE,FALSE,ALLOWED,FALSE,TRUE,http://play.google.com/books/reader?id=gqDf__ULmR8C&hl=&source=gbs_api,SAMPLE,FALSE,"To each cluster, we associate a rank based on a balance of two <b>criteria</b>: the novelty of contents of the groups with respect to past results, and their overall similarity with respect to the original <b>query</b>. A disambiguated <b>query</b> is then&nbsp;...","8th International Conference, FQAS 2009, Roskilde, Denmark, October 26-28, 2009, Proceedings",http://books.google.com/books/download/Flexible_Query_Answering_Systems-sample-pdf.acsm?id=gqDf__ULmR8C&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,,,,,,,,
books#volume,pscmDwAAQBAJ,T+6jsAUtfxQ,https://www.googleapis.com/books/v1/volumes/pscmDwAAQBAJ,Key Terms and Concepts for Investigation,['John J. Fay'],Routledge,5/25/17,"Key Terms and Concepts for Investigation provides students and practitioners with a compilation of concise, accurate articles on major topics pertaining to criminal, private, and military investigations. Each entry in this reference features a definition and then describes its function in investigation, including best practices and job characteristics. From financial crimes, digital forensics, and crime scene investigation to fraud, DNA, and workplace violence, this compilation helps students master investigation and offers seasoned investigators a resource to further their knowledge of recent developments in the field.","[{'type': 'ISBN_13', 'identifier': '9781317329053'}, {'type': 'ISBN_10', 'identifier': '1317329058'}]",TRUE,TRUE,400,BOOK,['Social Science'],NOT_MATURE,FALSE,1.2.3.0.preview.3,FALSE,FALSE,http://books.google.com/books/content?id=pscmDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=pscmDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=pscmDwAAQBAJ&pg=PT120&dq=search+terms&hl=&cd=3&source=gbs_api,https://play.google.com/store/books/details?id=pscmDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=pscmDwAAQBAJ,US,FOR_SALE,TRUE,US,PARTIAL,TRUE,FALSE,ALLOWED,TRUE,TRUE,http://play.google.com/books/reader?id=pscmDwAAQBAJ&hl=&source=gbs_api,SAMPLE,FALSE,"Without first decrypting and mounting the above files, <b>search terms</b> will be useless and will find nothing. The indexing portion itself goes above and beyond everything that has already been discussed. It is performed once all compound&nbsp;...","A Reference for Criminal, Private, and Military Investigators",http://books.google.com/books/download/Key_Terms_and_Concepts_for_Investigation-sample-pdf.acsm?id=pscmDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,68.95,USD,55.16,USD,https://play.google.com/store/books/details?id=pscmDwAAQBAJ&rdid=book-pscmDwAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 68950000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 55160000, 'currencyCode': 'USD'}, 'giftable': True}]",http://books.google.com/books/download/Key_Terms_and_Concepts_for_Investigation-sample-epub.acsm?id=pscmDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,
books#volume,ZAH1AwAAQBAJ,ZZUmsYeciMo,https://www.googleapis.com/books/v1/volumes/ZAH1AwAAQBAJ,Power Query for Power BI and Excel,"['Christopher Webb', 'Crossjoin Consulting Limited']",Apress,7/5/14,"Power Query for Power BI and Excel is a book for people who are tired of copying and pasting data into Excel worksheets. Power Query, part of the Microsoft Power BI suite, is a tool that automates the process of getting data into Excel and will save you hours of dull, repetitive, and error-prone work! Power Query makes it easy to extract data from many different data sources, filter that data, aggregate it, clean it and perform calculations on it, finally loading that data into either your worksheet or directly into the new Excel 2013 Data Model used by Power Pivot. This concise, practical book provides a complete guide to Power Query and how to use it to solve all of your Excel data-loading problems. Power Query for Power BI and Excel goes well beyond the surface of what Power Query can do. The book goes deep into the underlying M language, showing you how to do amazing things that aren’t going to be possible from just the GUI interface that is covered in most other books. You’ll have full command of the GUI, and you’ll be able to drop into the M language to go beyond what the GUI provides. The depth in this book makes it a must-have item for anyone who is pushing Power BI and Excel to their limits in the pursuit of business intelligence from data analysis. Teaches the basics of using Power Query to load data into Excel Helps you solve common, data-related problems with Power Query Shows how to write your own solutions in the powerful M language","[{'type': 'ISBN_13', 'identifier': '9781430266921'}, {'type': 'ISBN_10', 'identifier': '1430266929'}]",TRUE,TRUE,261,BOOK,['Computers'],NOT_MATURE,TRUE,1.6.5.0.preview.3,FALSE,FALSE,http://books.google.com/books/content?id=ZAH1AwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=ZAH1AwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=ZAH1AwAAQBAJ&pg=PA42&dq=search+terms&hl=&cd=4&source=gbs_api,http://books.google.com/books?id=ZAH1AwAAQBAJ&dq=search+terms&hl=&source=gbs_api,https://books.google.com/books/about/Power_Query_for_Power_BI_and_Excel.html?hl=&id=ZAH1AwAAQBAJ,US,NOT_FOR_SALE,FALSE,US,PARTIAL,TRUE,FALSE,ALLOWED,TRUE,TRUE,http://play.google.com/books/reader?id=ZAH1AwAAQBAJ&hl=&source=gbs_api,SAMPLE,FALSE,"When you perform a <b>search</b> using the Online <b>Search</b> button, a new tab will appear on the Excel ribbon: the <b>Search</b> tab, shown in Figure 2-43. Figure 2-43. The <b>Search</b> tab In the Refine section, the buttons allow you to <b>search</b> for <b>terms</b> in&nbsp;...",,http://books.google.com/books/download/Power_Query_for_Power_BI_and_Excel-sample-pdf.acsm?id=ZAH1AwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,,,,http://books.google.com/books/download/Power_Query_for_Power_BI_and_Excel-sample-epub.acsm?id=ZAH1AwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,
books#volume,g7YNeVDDbVgC,4ft9dQj3nIQ,https://www.googleapis.com/books/v1/volumes/g7YNeVDDbVgC,Flexible Query Answering Systems,"['Henrik Legind Larsen', 'Gabriella Pasi', 'Daniel Ortiz-Arroyo', 'Troels Andreasen', 'Henning Christiansen']",Springer Science & Business Media,5/30/06,"This book constitutes the refereed proceeding of the 7th International Conference on Flexible Query Answering Systems, FQAS 2006, held in Milan, Italy in June 2006. The 60 revised full papers presented were carefully reviewed and selected from numerous submissions. The papers are organized in topical sections on flexibility in database management and quering, vagueness and uncertainty in XML quering and retrieval, information retrieval and filtering, multimedia information access, user modeling and personalization, knowledge and data extraction, intelligent information extraction from text, and knowledge representation and reasoning.","[{'type': 'ISBN_13', 'identifier': '9783540346388'}, {'type': 'ISBN_10', 'identifier': '3540346384'}]",FALSE,TRUE,730,BOOK,['Computers'],NOT_MATURE,FALSE,0.1.2.0.preview.1,FALSE,FALSE,http://books.google.com/books/content?id=g7YNeVDDbVgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=g7YNeVDDbVgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=g7YNeVDDbVgC&pg=PA582&dq=search+terms&hl=&cd=5&source=gbs_api,http://books.google.com/books?id=g7YNeVDDbVgC&dq=search+terms&hl=&source=gbs_api,https://books.google.com/books/about/Flexible_Query_Answering_Systems.html?hl=&id=g7YNeVDDbVgC,US,NOT_FOR_SALE,FALSE,US,PARTIAL,TRUE,FALSE,ALLOWED,FALSE,TRUE,http://play.google.com/books/reader?id=g7YNeVDDbVgC&hl=&source=gbs_api,SAMPLE,FALSE,&lt;document_retrieval&gt; &lt;swish_query <b>query</b>=&quot;(talde OR aldra OR sail OR saldo OR samalda OR ekipo OR unitate OR lagunarte OR multzo OR abeltalde OR artalde OR jendetza OR nahaspila) AND (nagusi OR ugazaba OR buru OR buruzagi OR agintzaile&nbsp;...,"7th International Conference, FQAS 2006, Milan, Italy, June 7-10, 2006",http://books.google.com/books/download/Flexible_Query_Answering_Systems-sample-pdf.acsm?id=g7YNeVDDbVgC&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,,,,,,,,
books#volume,L0rrrfE0bOsC,wflMwaGv840,https://www.googleapis.com/books/v1/volumes/L0rrrfE0bOsC,Deep Web Query Interface Understanding and Integration,"['Eduard C. Dragut', 'Weiyi Meng', 'Clement T. Yu']",Morgan & Claypool Publishers,2012,"There are millions of searchable data sources on the Web and to a large extent their contents can only be reached through their own query interfaces. There is an enormous interest in making the data in these sources easily accessible. There are primarily two general approaches to achieve this objective. The first is to surface the contents of these sources from the deep Web and add the contents to the index of regular search engines. The second is to integrate the searching capabilities of these sources and support integrated access to them. In this book, we introduce the state-of-the-art techniques for extracting, understanding, and integrating the query interfaces of deep Web data sources. These techniques are critical for producing an integrated query interface for each domain. The interface serves as the mediator for searching all data sources in the concerned domain. While query interface integration is only relevant for the deep Web integration approach, the extraction and understanding of query interfaces are critical for both deep Web exploration approaches. This book aims to provide in-depth and comprehensive coverage of the key technologies needed to create high quality integrated query interfaces automatically. The following technical issues are discussed in detail in this book: query interface modeling, query interface extraction, query interface clustering, query interface matching, query interface attribute integration, and query interface integration. Table of Contents: Introduction / Query Interface Representation and Extraction / Query Interface Clustering and Categorization / Query Interface Matching / Query Interface Attribute Integration / Query Interface Integration / Summary and Future Research","[{'type': 'ISBN_13', 'identifier': '9781608458943'}, {'type': 'ISBN_10', 'identifier': '1608458946'}]",FALSE,TRUE,150,BOOK,['Computers'],NOT_MATURE,FALSE,preview-1.0.0,FALSE,FALSE,http://books.google.com/books/content?id=L0rrrfE0bOsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=L0rrrfE0bOsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=L0rrrfE0bOsC&pg=PA54&dq=search+terms&hl=&cd=6&source=gbs_api,http://books.google.com/books?id=L0rrrfE0bOsC&dq=search+terms&hl=&source=gbs_api,https://books.google.com/books/about/Deep_Web_Query_Interface_Understanding_a.html?hl=&id=L0rrrfE0bOsC,US,NOT_FOR_SALE,FALSE,US,PARTIAL,TRUE,FALSE,ALLOWED,FALSE,TRUE,http://play.google.com/books/reader?id=L0rrrfE0bOsC&hl=&source=gbs_api,SAMPLE,FALSE,"FN consists ofall distinct <b>terms</b> appearing in a <b>query</b> interface. For example, the <b>query</b> interfaces of book <b>search</b> engines usually have attribute names such as “title,” “author,” “ISBN,” and “category,” while those of automobile <b>search</b>&nbsp;...",,http://books.google.com/books/download/Deep_Web_Query_Interface_Understanding_a-sample-pdf.acsm?id=L0rrrfE0bOsC&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,,,,,,,,,,,
books#volume,77RZAAAAYAAJ,gUsUN0TbWIo,https://www.googleapis.com/books/v1/volumes/77RZAAAAYAAJ,Pennsylvania Law Encyclopedia,,,2004,,"[{'type': 'OTHER', 'identifier': 'PSU:000062618915'}]",FALSE,FALSE,,BOOK,['Law'],NOT_MATURE,FALSE,1.3.2.0.preview.0,FALSE,FALSE,http://books.google.com/books/content?id=77RZAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=77RZAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com/books?id=77RZAAAAYAAJ&q=search+terms&dq=search+terms&hl=&cd=7&source=gbs_api,http://books.google.com/books?id=77RZAAAAYAAJ&dq=search+terms&hl=&source=gbs_api,https://books.google.com/books/about/Pennsylvania_Law_Encyclopedia.html?hl=&id=77RZAAAAYAAJ,US,NOT_FOR_SALE,FALSE,US,NO_PAGES,FALSE,FALSE,ALLOWED,FALSE,FALSE,http://play.google.com/books/reader?id=77RZAAAAYAAJ&hl=&source=gbs_api,NONE,FALSE,"<b>SEARCHING</b> As the lexis.com8&quot; computer-assisted legal research service is a full-text database, it allows you to <b>search</b> for virtually any <b>word</b> or combination of <b>words</b>. (The only exceptions are certain &quot;noise <b>words</b>&quot; such as in, on, was,&nbsp;...",,,,,,,,,,,,,
books#volume,DgbhAAAAMAAJ,4lYNsEWJvAQ,https://www.googleapis.com/books/v1/volumes/DgbhAAAAMAAJ,Search INFORM.,,,1986,,"[{'type': 'OTHER', 'identifier': 'UOM:39015014503646'}]",FALSE,FALSE,362,BOOK,['ABI/INFORM (Information retrieval system)'],NOT_MATURE,FALSE,1.4.2.0.preview.0,FALSE,FALSE,http://books.google.com/books/content?id=DgbhAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=DgbhAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com/books?id=DgbhAAAAMAAJ&pg=PA2&dq=search+terms&hl=&cd=8&source=gbs_api,http://books.google.com/books?id=DgbhAAAAMAAJ&dq=search+terms&hl=&source=gbs_api,https://books.google.com/books/about/Search_INFORM.html?hl=&id=DgbhAAAAMAAJ,US,NOT_FOR_SALE,FALSE,US,NO_PAGES,FALSE,FALSE,ALLOWED,FALSE,FALSE,http://play.google.com/books/reader?id=DgbhAAAAMAAJ&hl=&source=gbs_api,NONE,FALSE,,,,,,,,,,,,,,
books#volume,OMOwmLgbMfYC,fC6dwSC8c0k,https://www.googleapis.com/books/v1/volumes/OMOwmLgbMfYC,Out's Gay & Lesbian Guide to the Web,['J. Harrison Fitch'],Ziff Davis Press,1997,Describes sites on the World Wide Web of special interest to gay men and lesbians,"[{'type': 'ISBN_10', 'identifier': '0789710595'}, {'type': 'ISBN_13', 'identifier': '9780789710598'}]",FALSE,FALSE,284,BOOK,['Social Science'],MATURE,FALSE,1.4.3.0.preview.0,FALSE,FALSE,http://books.google.com/books/content?id=OMOwmLgbMfYC&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=OMOwmLgbMfYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com/books?id=OMOwmLgbMfYC&q=search+terms&dq=search+terms&hl=&cd=9&source=gbs_api,http://books.google.com/books?id=OMOwmLgbMfYC&dq=search+terms&hl=&source=gbs_api,https://books.google.com/books/about/Out_s_Gay_Lesbian_Guide_to_the_Web.html?hl=&id=OMOwmLgbMfYC,US,NOT_FOR_SALE,FALSE,US,NO_PAGES,FALSE,FALSE,ALLOWED,FALSE,FALSE,http://play.google.com/books/reader?id=OMOwmLgbMfYC&hl=&source=gbs_api,NONE,FALSE,"<b>Search</b> Options features. Iust keep these simple guidelines in mind: 0 AND <b>searches</b> are possible by selecting the match all <b>terms</b> (AND) option and then entering whatever <b>words</b> you want in the <b>search</b> box. In the above example,&nbsp;...",,,,,,,,,,,,,
books#volume,zYw3sYFtz9kC,S8T4mS/D/hk,https://www.googleapis.com/books/v1/volumes/zYw3sYFtz9kC,The Contemporary Thesaurus of Search Terms and Synonyms,['Sara D. Knapp'],Greenwood Publishing Group,2000,"Whether your search is limited to a single database or is as expansive as all of cyberspace, you won't find the intended results unless you use the words that work. Now in its second edition, Sara Knapp has updated and expanded this invaluable resource. Unlike any other thesaurus available, this popular guide offers a wealth of natural language options in a convenient, A-to-Z format. It's ideal for helping users find the appropriate word or words for computer searches in the humanities, social sciences, and business. The second edition has added more than 9,000 entries to the first edition's extensive list. Now, the Thesaurus contains almost 21,000 search entries! New or expanded areas include broader coverage of business terms and humanities-including arts literature, philosophy, religion, and music.","[{'type': 'ISBN_10', 'identifier': '157356107X'}, {'type': 'ISBN_13', 'identifier': '9781573561075'}]",FALSE,TRUE,718,BOOK,['Electronic information resource searching'],NOT_MATURE,FALSE,1.3.3.0.preview.1,FALSE,FALSE,http://books.google.com/books/content?id=zYw3sYFtz9kC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=zYw3sYFtz9kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=zYw3sYFtz9kC&printsec=frontcover&dq=search+terms&hl=&cd=10&source=gbs_api,https://play.google.com/store/books/details?id=zYw3sYFtz9kC&source=gbs_api,https://play.google.com/store/books/details?id=zYw3sYFtz9kC,US,FOR_SALE,TRUE,US,PARTIAL,TRUE,FALSE,ALLOWED,FALSE,TRUE,http://play.google.com/books/reader?id=zYw3sYFtz9kC&hl=&source=gbs_api,SAMPLE,FALSE,"Are you a visual learner? Do you prefer instructions that show you how to do something - and skip the long-winded explanations? If so, then this book is for you.",A Guide for Natural Language Computer Searching,http://books.google.com/books/download/The_Contemporary_Thesaurus_of_Search_Ter-sample-pdf.acsm?id=zYw3sYFtz9kC&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,179.95,USD,143.96,USD,https://play.google.com/store/books/details?id=zYw3sYFtz9kC&rdid=book-zYw3sYFtz9kC&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 179950000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 143960000, 'currencyCode': 'USD'}, 'giftable': True}]",,3,1,,
